update_date,update_time,Zip,Positive_Cases,Tested
04-17-2020,17:34,60404,34,
04-17-2020,17:34,60406,76,
04-17-2020,17:34,60409,182,
04-17-2020,17:34,60410,11,
04-17-2020,17:34,60411,249,
04-17-2020,17:34,60415,59,
04-17-2020,17:34,60417,57,
04-17-2020,17:34,60418,29,
04-17-2020,17:34,60419,120,
04-17-2020,17:34,60422,44,
04-17-2020,17:34,60423,58,
04-17-2020,17:34,60425,45,
04-17-2020,17:34,60426,127,
04-17-2020,17:34,60428,73,
04-17-2020,17:34,60429,89,
04-17-2020,17:34,60430,90,
04-17-2020,17:34,60431,73,
04-17-2020,17:34,60432,47,
04-17-2020,17:34,60433,66,
04-17-2020,17:34,60434,19,
04-17-2020,17:34,60435,205,
04-17-2020,17:34,60436,44,
04-17-2020,17:34,60438,108,
04-17-2020,17:34,60439,35,
04-17-2020,17:34,60440,160,
04-17-2020,17:34,60441,74,
04-17-2020,17:34,60442,16,
04-17-2020,17:34,60443,147,
04-17-2020,17:34,60445,42,
04-17-2020,17:34,60446,102,
04-17-2020,17:34,60447,9,
04-17-2020,17:34,60448,40,
04-17-2020,17:34,60449,29,
04-17-2020,17:34,60450,14,
04-17-2020,17:34,60451,41,
04-17-2020,17:34,60452,57,
04-17-2020,17:34,60453,163,
04-17-2020,17:34,60455,67,
04-17-2020,17:34,60456,14,
04-17-2020,17:34,60457,34,
04-17-2020,17:34,60458,23,
04-17-2020,17:34,60459,78,
04-17-2020,17:34,60461,28,
04-17-2020,17:34,60462,82,
04-17-2020,17:34,60463,43,
04-17-2020,17:34,60464,11,
04-17-2020,17:34,60465,45,
04-17-2020,17:34,60466,209,
04-17-2020,17:34,60467,54,
04-17-2020,17:34,60468,9,
04-17-2020,17:34,60469,15,
04-17-2020,17:34,60471,83,
04-17-2020,17:34,60472,33,
04-17-2020,17:34,60473,154,
04-17-2020,17:34,60475,36,
04-17-2020,17:34,60477,66,
04-17-2020,17:34,60478,106,
04-17-2020,17:34,60480,11,
04-17-2020,17:34,60481,8,
04-17-2020,17:34,60482,21,
04-17-2020,17:34,60484,46,
04-17-2020,17:34,60487,42,
04-17-2020,17:34,60490,60,
04-17-2020,17:34,60491,63,
04-17-2020,17:34,60501,29,
04-17-2020,17:34,60502,24,
04-17-2020,17:34,60503,11,
04-17-2020,17:34,60504,45,
04-17-2020,17:34,60505,83,
04-17-2020,17:34,60506,98,
04-17-2020,17:34,60510,15,
04-17-2020,17:34,60513,48,
04-17-2020,17:34,60514,24,
04-17-2020,17:34,60515,26,
04-17-2020,17:34,60516,30,
04-17-2020,17:34,60517,55,
04-17-2020,17:34,60521,26,
04-17-2020,17:34,60523,29,
04-17-2020,17:34,60525,70,
04-17-2020,17:34,60526,21,
04-17-2020,17:34,60527,127,
04-17-2020,17:34,60532,29,
04-17-2020,17:34,60534,21,
04-17-2020,17:34,60538,22,
04-17-2020,17:34,60540,27,
04-17-2020,17:34,60542,16,
04-17-2020,17:34,60543,39,
04-17-2020,17:34,60544,49,
04-17-2020,17:34,60545,9,
04-17-2020,17:34,60546,47,
04-17-2020,17:34,60551,9,
04-17-2020,17:34,60554,9,
04-17-2020,17:34,60555,20,
04-17-2020,17:34,60558,13,
04-17-2020,17:34,60559,62,
04-17-2020,17:34,60560,18,
04-17-2020,17:34,60561,46,
04-17-2020,17:34,60563,38,
04-17-2020,17:34,60564,48,
04-17-2020,17:34,60565,63,
04-17-2020,17:34,60585,33,
04-17-2020,17:34,60586,90,
04-17-2020,17:34,60601,35,
04-17-2020,17:34,60605,69,
04-17-2020,17:34,60606,17,
04-17-2020,17:34,60607,138,
04-17-2020,17:34,60608,339,
04-17-2020,17:34,60609,248,
04-17-2020,17:34,60610,104,
04-17-2020,17:34,60611,74,
04-17-2020,17:34,60612,255,
04-17-2020,17:34,60613,155,
04-17-2020,17:34,60614,180,
04-17-2020,17:34,60615,164,
04-17-2020,17:34,60616,179,
04-17-2020,17:34,60617,337,
04-17-2020,17:34,60618,256,
04-17-2020,17:34,60619,364,
04-17-2020,17:34,60620,444,
04-17-2020,17:34,60621,180,
04-17-2020,17:34,60622,186,
04-17-2020,17:34,60623,416,
04-17-2020,17:34,60624,270,
04-17-2020,17:34,60625,277,
04-17-2020,17:34,60626,230,
04-17-2020,17:34,60628,359,
04-17-2020,17:34,60629,420,
04-17-2020,17:34,60630,160,
04-17-2020,17:34,60631,91,
04-17-2020,17:34,60632,316,
04-17-2020,17:34,60633,40,
04-17-2020,17:34,60634,308,
04-17-2020,17:34,60636,206,
04-17-2020,17:34,60637,205,
04-17-2020,17:34,60638,202,
04-17-2020,17:34,60639,430,
04-17-2020,17:34,60640,227,
04-17-2020,17:34,60641,232,
04-17-2020,17:34,60642,38,
04-17-2020,17:34,60643,309,
04-17-2020,17:34,60644,324,
04-17-2020,17:34,60645,408,
04-17-2020,17:34,60646,75,
04-17-2020,17:34,60647,191,
04-17-2020,17:34,60649,244,
04-17-2020,17:34,60651,326,
04-17-2020,17:34,60652,191,
04-17-2020,17:34,60653,193,
04-17-2020,17:34,60654,53,
04-17-2020,17:34,60655,119,
04-17-2020,17:34,60656,87,
04-17-2020,17:34,60657,158,
04-17-2020,17:34,60659,225,
04-17-2020,17:34,60660,121,
04-17-2020,17:34,60661,20,
04-17-2020,17:34,60706,81,
04-17-2020,17:34,60707,160,
04-17-2020,17:34,60712,71,
04-17-2020,17:34,60714,132,
04-17-2020,17:34,60803,55,
04-17-2020,17:34,60804,317,
04-17-2020,17:34,60805,67,
04-17-2020,17:34,60827,121,
04-17-2020,17:34,60901,158,
04-17-2020,17:34,60914,47,
04-17-2020,17:34,60915,10,
04-17-2020,17:34,60950,15,
04-17-2020,17:34,60954,9,
04-17-2020,17:34,60964,9,
04-17-2020,17:34,61008,14,
04-17-2020,17:34,61016,6,
04-17-2020,17:34,61021,11,
04-17-2020,17:34,61032,8,
04-17-2020,17:34,61065,6,
04-17-2020,17:34,61068,26,
04-17-2020,17:34,61081,17,
04-17-2020,17:34,61101,12,
04-17-2020,17:34,61102,17,
04-17-2020,17:34,61103,17,
04-17-2020,17:34,61104,10,
04-17-2020,17:34,61107,8,
04-17-2020,17:34,61108,25,
04-17-2020,17:34,61109,18,
04-17-2020,17:34,61114,11,
04-17-2020,17:34,61201,34,
04-17-2020,17:34,61235,6,
04-17-2020,17:34,61241,9,
04-17-2020,17:34,61244,56,
04-17-2020,17:34,61264,8,
04-17-2020,17:34,61265,48,
04-17-2020,17:34,61282,12,
04-17-2020,17:34,61604,7,
04-17-2020,17:34,61611,7,
04-17-2020,17:34,61614,9,
04-17-2020,17:34,61615,8,
04-17-2020,17:34,61701,31,
04-17-2020,17:34,61704,16,
04-17-2020,17:34,61705,7,
04-17-2020,17:34,61761,18,
04-17-2020,17:34,61764,9,
04-17-2020,17:34,61801,11,
04-17-2020,17:34,61802,16,
04-17-2020,17:34,61820,6,
04-17-2020,17:34,61821,10,
04-17-2020,17:34,61822,23,
04-17-2020,17:34,61853,7,
04-17-2020,17:34,61874,6,
04-17-2020,17:34,61910,6,
04-17-2020,17:34,62002,28,
04-17-2020,17:34,62024,6,
04-17-2020,17:34,62025,23,
04-17-2020,17:34,62034,8,
04-17-2020,17:34,62035,8,
04-17-2020,17:34,62040,28,
04-17-2020,17:34,62052,7,
04-17-2020,17:34,62060,7,
04-17-2020,17:34,62095,7,
04-17-2020,17:34,62201,8,
04-17-2020,17:34,62203,9,
04-17-2020,17:34,62204,8,
04-17-2020,17:34,62205,7,
04-17-2020,17:34,62206,22,
04-17-2020,17:34,62207,14,
04-17-2020,17:34,62208,18,
04-17-2020,17:34,62220,17,
04-17-2020,17:34,62221,26,
04-17-2020,17:34,62223,19,
04-17-2020,17:34,62226,36,
04-17-2020,17:34,62233,27,
04-17-2020,17:34,62234,17,
04-17-2020,17:34,62236,27,
04-17-2020,17:34,62258,11,
04-17-2020,17:34,62265,8,
04-17-2020,17:34,62269,21,
04-17-2020,17:34,62278,11,
04-17-2020,17:34,62294,10,
04-17-2020,17:34,62298,22,
04-17-2020,17:34,62301,13,
04-17-2020,17:34,62305,12,
04-17-2020,17:34,62471,10,
04-17-2020,17:34,62521,33,
04-17-2020,17:34,62526,7,
04-17-2020,17:34,62568,21,
04-17-2020,17:34,62650,11,
04-17-2020,17:34,62702,14,
04-17-2020,17:34,62703,6,
04-17-2020,17:34,62711,10,
04-17-2020,17:34,62801,32,
04-17-2020,17:34,62864,8,
04-17-2020,17:34,62901,31,
04-17-2020,17:34,62959,8,
04-16-2020,19:10,60002,28,
04-16-2020,19:10,60004,54,
04-16-2020,19:10,60005,33,
04-16-2020,19:10,60007,48,
04-16-2020,19:10,60008,31,
04-16-2020,19:10,60010,27,
04-16-2020,19:10,60012,16,
04-16-2020,19:10,60013,31,
04-16-2020,19:10,60014,31,
04-16-2020,19:10,60015,67,
04-16-2020,19:10,60016,268,
04-16-2020,19:10,60018,76,
04-16-2020,19:10,60020,9,
04-16-2020,19:10,60021,6,
04-16-2020,19:10,60022,15,
04-16-2020,19:10,60025,131,
04-16-2020,19:10,60026,56,
04-16-2020,19:10,60030,37,
04-16-2020,19:10,60031,67,
04-16-2020,19:10,60033,7,
04-16-2020,19:10,60035,93,
04-16-2020,19:10,60040,9,
04-16-2020,19:10,60041,7,
04-16-2020,19:10,60042,6,
04-16-2020,19:10,60043,13,
04-16-2020,19:10,60044,31,
04-16-2020,19:10,60045,73,
04-16-2020,19:10,60046,47,
04-16-2020,19:10,60047,42,
04-16-2020,19:10,60048,41,
04-16-2020,19:10,60050,32,
04-16-2020,19:10,60051,19,
04-16-2020,19:10,60053,73,
04-16-2020,19:10,60056,95,
04-16-2020,19:10,60060,62,
04-16-2020,19:10,60061,36,
04-16-2020,19:10,60062,81,
04-16-2020,19:10,60064,111,
04-16-2020,19:10,60067,27,
04-16-2020,19:10,60068,93,
04-16-2020,19:10,60069,16,
04-16-2020,19:10,60070,22,
04-16-2020,19:10,60073,125,
04-16-2020,19:10,60074,56,
04-16-2020,19:10,60076,156,
04-16-2020,19:10,60077,122,
04-16-2020,19:10,60081,13,
04-16-2020,19:10,60083,20,
04-16-2020,19:10,60084,44,
04-16-2020,19:10,60085,389,
04-16-2020,19:10,60087,110,
04-16-2020,19:10,60088,16,
04-16-2020,19:10,60089,61,
04-16-2020,19:10,60090,80,
04-16-2020,19:10,60091,64,
04-16-2020,19:10,60093,80,
04-16-2020,19:10,60096,8,
04-16-2020,19:10,60097,7,
04-16-2020,19:10,60098,58,
04-16-2020,19:10,60099,120,
04-16-2020,19:10,60101,99,
04-16-2020,19:10,60102,30,
04-16-2020,19:10,60103,35,
04-16-2020,19:10,60104,147,
04-16-2020,19:10,60106,88,
04-16-2020,19:10,60107,65,
04-16-2020,19:10,60108,31,
04-16-2020,19:10,60110,29,
04-16-2020,19:10,60115,20,
04-16-2020,19:10,60118,13,
04-16-2020,19:10,60119,8,
04-16-2020,19:10,60120,58,
04-16-2020,19:10,60123,59,
04-16-2020,19:10,60124,14,
04-16-2020,19:10,60126,69,
04-16-2020,19:10,60130,46,
04-16-2020,19:10,60131,61,
04-16-2020,19:10,60133,73,
04-16-2020,19:10,60134,15,
04-16-2020,19:10,60136,12,
04-16-2020,19:10,60137,33,
04-16-2020,19:10,60139,70,
04-16-2020,19:10,60140,16,
04-16-2020,19:10,60142,17,
04-16-2020,19:10,60143,14,
04-16-2020,19:10,60148,81,
04-16-2020,19:10,60153,112,
04-16-2020,19:10,60154,66,
04-16-2020,19:10,60155,29,
04-16-2020,19:10,60156,20,
04-16-2020,19:10,60160,87,
04-16-2020,19:10,60162,40,
04-16-2020,19:10,60163,11,
04-16-2020,19:10,60164,63,
04-16-2020,19:10,60165,27,
04-16-2020,19:10,60169,35,
04-16-2020,19:10,60171,29,
04-16-2020,19:10,60172,25,
04-16-2020,19:10,60173,10,
04-16-2020,19:10,60174,20,
04-16-2020,19:10,60175,23,
04-16-2020,19:10,60176,19,
04-16-2020,19:10,60177,16,
04-16-2020,19:10,60178,9,
04-16-2020,19:10,60181,65,
04-16-2020,19:10,60185,53,
04-16-2020,19:10,60187,15,
04-16-2020,19:10,60188,96,
04-16-2020,19:10,60189,28,
04-16-2020,19:10,60190,8,
04-16-2020,19:10,60191,17,
04-16-2020,19:10,60192,13,
04-16-2020,19:10,60193,50,
04-16-2020,19:10,60194,25,
04-16-2020,19:10,60201,99,
04-16-2020,19:10,60202,100,
04-16-2020,19:10,60203,14,
04-16-2020,19:10,60301,10,
04-16-2020,19:10,60302,74,
04-16-2020,19:10,60304,28,
04-16-2020,19:10,60305,14,
04-16-2020,19:10,60401,21,
04-16-2020,19:10,60402,210,
04-16-2020,19:10,60403,55,
04-16-2020,19:10,60404,34,
04-16-2020,19:10,60406,74,
04-16-2020,19:10,60409,173,
04-16-2020,19:10,60410,10,
04-16-2020,19:10,60411,241,
04-16-2020,19:10,60415,53,
04-16-2020,19:10,60417,55,
04-16-2020,19:10,60418,28,
04-16-2020,19:10,60419,116,
04-16-2020,19:10,60422,45,
04-16-2020,19:10,60423,58,
04-16-2020,19:10,60425,44,
04-16-2020,19:10,60426,117,
04-16-2020,19:10,60428,69,
04-16-2020,19:10,60429,85,
04-16-2020,19:10,60430,90,
04-16-2020,19:10,60431,70,
04-16-2020,19:10,60432,45,
04-16-2020,19:10,60433,65,
04-16-2020,19:10,60434,19,
04-16-2020,19:10,60435,190,
04-16-2020,19:10,60436,39,
04-16-2020,19:10,60438,104,
04-16-2020,19:10,60439,35,
04-16-2020,19:10,60440,149,
04-16-2020,19:10,60441,75,
04-16-2020,19:10,60442,16,
04-16-2020,19:10,60443,138,
04-16-2020,19:10,60445,40,
04-16-2020,19:10,60446,98,
04-16-2020,19:10,60447,8,
04-16-2020,19:10,60448,37,
04-16-2020,19:10,60449,27,
04-16-2020,19:10,60450,14,
04-16-2020,19:10,60451,39,
04-16-2020,19:10,60452,56,
04-16-2020,19:10,60453,153,
04-16-2020,19:10,60455,66,
04-16-2020,19:10,60456,12,
04-16-2020,19:10,60457,33,
04-16-2020,19:10,60458,22,
04-16-2020,19:10,60459,72,
04-16-2020,19:10,60461,27,
04-16-2020,19:10,60462,77,
04-16-2020,19:10,60463,41,
04-16-2020,19:10,60464,12,
04-16-2020,19:10,60465,43,
04-16-2020,19:10,60466,188,
04-16-2020,19:10,60467,52,
04-16-2020,19:10,60468,9,
04-16-2020,19:10,60469,15,
04-16-2020,19:10,60471,82,
04-16-2020,19:10,60472,33,
04-16-2020,19:10,60473,147,
04-16-2020,19:10,60475,35,
04-16-2020,19:10,60477,62,
04-16-2020,19:10,60478,101,
04-16-2020,19:10,60480,11,
04-16-2020,19:10,60481,7,
04-16-2020,19:10,60482,22,
04-16-2020,19:10,60484,46,
04-16-2020,19:10,60487,41,
04-16-2020,19:10,60490,57,
04-16-2020,19:10,60491,58,
04-16-2020,19:10,60501,24,
04-16-2020,19:10,60502,22,
04-16-2020,19:10,60503,11,
04-16-2020,19:10,60504,44,
04-16-2020,19:10,60505,73,
04-16-2020,19:10,60506,92,
04-16-2020,19:10,60510,15,
04-16-2020,19:10,60513,46,
04-16-2020,19:10,60514,24,
04-16-2020,19:10,60515,25,
04-16-2020,19:10,60516,28,
04-16-2020,19:10,60517,53,
04-16-2020,19:10,60521,25,
04-16-2020,19:10,60523,27,
04-16-2020,19:10,60525,67,
04-16-2020,19:10,60526,20,
04-16-2020,19:10,60527,125,
04-16-2020,19:10,60532,27,
04-16-2020,19:10,60534,19,
04-16-2020,19:10,60538,18,
04-16-2020,19:10,60540,26,
04-16-2020,19:10,60542,15,
04-16-2020,19:10,60543,38,
04-16-2020,19:10,60544,44,
04-16-2020,19:10,60545,9,
04-16-2020,19:10,60546,44,
04-16-2020,19:10,60551,8,
04-16-2020,19:10,60554,8,
04-16-2020,19:10,60555,14,
04-16-2020,19:10,60558,13,
04-16-2020,19:10,60559,58,
04-16-2020,19:10,60560,17,
04-16-2020,19:10,60561,43,
04-16-2020,19:10,60563,38,
04-16-2020,19:10,60564,48,
04-16-2020,19:10,60565,58,
04-16-2020,19:10,60585,32,
04-16-2020,19:10,60586,84,
04-16-2020,19:10,60601,34,
04-16-2020,19:10,60605,66,
04-16-2020,19:10,60606,16,
04-16-2020,19:10,60607,135,
04-16-2020,19:10,60608,316,
04-16-2020,19:10,60609,218,
04-16-2020,19:10,60610,103,
04-16-2020,19:10,60611,71,
04-16-2020,19:10,60612,252,
04-16-2020,19:10,60613,148,
04-16-2020,19:10,60614,176,
04-16-2020,19:10,60615,157,
04-16-2020,19:10,60616,167,
04-16-2020,19:10,60617,323,
04-16-2020,19:10,60618,235,
04-16-2020,19:10,60619,355,
04-16-2020,19:10,60620,427,
04-16-2020,19:10,60621,170,
04-16-2020,19:10,60622,179,
04-16-2020,19:10,60623,383,
04-16-2020,19:10,60624,257,
04-16-2020,19:10,60625,253,
04-16-2020,19:10,60626,203,
04-16-2020,19:10,60628,346,
04-16-2020,19:10,60629,377,
04-16-2020,19:10,60630,146,
04-16-2020,19:10,60631,86,
04-16-2020,19:10,60632,273,
04-16-2020,19:10,60633,39,
04-16-2020,19:10,60634,278,
04-16-2020,19:10,60636,200,
04-16-2020,19:10,60637,200,
04-16-2020,19:10,60638,190,
04-16-2020,19:10,60639,374,
04-16-2020,19:10,60640,199,
04-16-2020,19:10,60641,207,
04-16-2020,19:10,60642,38,
04-16-2020,19:10,60643,294,
04-16-2020,19:10,60644,308,
04-16-2020,19:10,60645,377,
04-16-2020,19:10,60646,70,
04-16-2020,19:10,60647,176,
04-16-2020,19:10,60649,238,
04-16-2020,19:10,60651,302,
04-16-2020,19:10,60652,180,
04-16-2020,19:10,60653,183,
04-16-2020,19:10,60654,48,
04-16-2020,19:10,60655,117,
04-16-2020,19:10,60656,83,
04-16-2020,19:10,60657,150,
04-16-2020,19:10,60659,209,
04-16-2020,19:10,60660,114,
04-16-2020,19:10,60661,19,
04-16-2020,19:10,60706,70,
04-16-2020,19:10,60707,146,
04-16-2020,19:10,60712,69,
04-16-2020,19:10,60714,114,
04-16-2020,19:10,60803,52,
04-16-2020,19:10,60804,288,
04-16-2020,19:10,60805,66,
04-16-2020,19:10,60827,119,
04-16-2020,19:10,60901,152,
04-16-2020,19:10,60914,47,
04-16-2020,19:10,60915,10,
04-16-2020,19:10,60950,15,
04-16-2020,19:10,60954,9,
04-16-2020,19:10,60964,9,
04-16-2020,19:10,61008,12,
04-16-2020,19:10,61016,6,
04-16-2020,19:10,61021,10,
04-16-2020,19:10,61032,7,
04-16-2020,19:10,61068,15,
04-16-2020,19:10,61081,16,
04-16-2020,19:10,61101,11,
04-16-2020,19:10,61102,13,
04-16-2020,19:10,61103,14,
04-16-2020,19:10,61104,8,
04-16-2020,19:10,61107,8,
04-16-2020,19:10,61108,18,
04-16-2020,19:10,61109,14,
04-16-2020,19:10,61114,9,
04-16-2020,19:10,61201,28,
04-16-2020,19:10,61241,9,
04-16-2020,19:10,61244,54,
04-16-2020,19:10,61264,7,
04-16-2020,19:10,61265,44,
04-16-2020,19:10,61282,12,
04-16-2020,19:10,61604,7,
04-16-2020,19:10,61611,7,
04-16-2020,19:10,61614,9,
04-16-2020,19:10,61615,8,
04-16-2020,19:10,61701,30,
04-16-2020,19:10,61704,16,
04-16-2020,19:10,61705,7,
04-16-2020,19:10,61761,18,
04-16-2020,19:10,61764,9,
04-16-2020,19:10,61801,12,
04-16-2020,19:10,61802,15,
04-16-2020,19:10,61820,6,
04-16-2020,19:10,61821,10,
04-16-2020,19:10,61822,23,
04-16-2020,19:10,61853,7,
04-16-2020,19:10,61874,6,
04-16-2020,19:10,61910,6,
04-16-2020,19:10,62002,25,
04-16-2020,19:10,62025,22,
04-16-2020,19:10,62034,8,
04-16-2020,19:10,62035,8,
04-16-2020,19:10,62040,28,
04-16-2020,19:10,62052,7,
04-16-2020,19:10,62060,6,
04-16-2020,19:10,62095,7,
04-16-2020,19:10,62201,8,
04-16-2020,19:10,62203,9,
04-16-2020,19:10,62204,8,
04-16-2020,19:10,62205,7,
04-16-2020,19:10,62206,20,
04-16-2020,19:10,62207,13,
04-16-2020,19:10,62208,18,
04-16-2020,19:10,62220,13,
04-16-2020,19:10,62221,24,
04-16-2020,19:10,62223,19,
04-16-2020,19:10,62226,34,
04-16-2020,19:10,62233,25,
04-16-2020,19:10,62234,15,
04-16-2020,19:10,62236,26,
04-16-2020,19:10,62258,10,
04-16-2020,19:10,62265,7,
04-16-2020,19:10,62269,20,
04-16-2020,19:10,62278,11,
04-16-2020,19:10,62294,10,
04-16-2020,19:10,62298,22,
04-16-2020,19:10,62301,12,
04-16-2020,19:10,62305,12,
04-16-2020,19:10,62471,10,
04-16-2020,19:10,62521,32,
04-16-2020,19:10,62526,7,
04-16-2020,19:10,62568,20,
04-16-2020,19:10,62650,10,
04-16-2020,19:10,62702,12,
04-16-2020,19:10,62703,6,
04-16-2020,19:10,62711,10,
04-16-2020,19:10,62801,31,
04-16-2020,19:10,62864,7,
04-16-2020,19:10,62901,30,
04-16-2020,19:10,62959,7,
04-15-2020,16:16,60002,28,
04-15-2020,16:16,60004,52,
04-15-2020,16:16,60005,33,
04-15-2020,16:16,60007,47,
04-15-2020,16:16,60008,29,
04-15-2020,16:16,60010,28,
04-15-2020,16:16,60012,15,
04-15-2020,16:16,60013,30,
04-15-2020,16:16,60014,31,
04-15-2020,16:16,60015,66,
04-15-2020,16:16,60016,221,
04-15-2020,16:16,60018,74,
04-15-2020,16:16,60020,8,
04-15-2020,16:16,60021,6,
04-15-2020,16:16,60022,15,
04-15-2020,16:16,60025,130,
04-15-2020,16:16,60026,56,
04-15-2020,16:16,60030,36,
04-15-2020,16:16,60031,65,
04-15-2020,16:16,60033,6,
04-15-2020,16:16,60035,91,
04-15-2020,16:16,60040,9,
04-15-2020,16:16,60041,7,
04-15-2020,16:16,60042,7,
04-15-2020,16:16,60043,13,
04-15-2020,16:16,60044,29,
04-15-2020,16:16,60045,72,
04-15-2020,16:16,60046,46,
04-15-2020,16:16,60047,41,
04-15-2020,16:16,60048,41,
04-15-2020,16:16,60050,29,
04-15-2020,16:16,60051,18,
04-15-2020,16:16,60053,72,
04-15-2020,16:16,60056,92,
04-15-2020,16:16,60060,60,
04-15-2020,16:16,60061,36,
04-15-2020,16:16,60062,81,
04-15-2020,16:16,60064,88,
04-15-2020,16:16,60067,26,
04-15-2020,16:16,60068,92,
04-15-2020,16:16,60069,16,
04-15-2020,16:16,60070,21,
04-15-2020,16:16,60073,122,
04-15-2020,16:16,60074,52,
04-15-2020,16:16,60076,150,
04-15-2020,16:16,60077,123,
04-15-2020,16:16,60081,13,
04-15-2020,16:16,60083,18,
04-15-2020,16:16,60084,44,
04-15-2020,16:16,60085,373,
04-15-2020,16:16,60087,106,
04-15-2020,16:16,60088,21,
04-15-2020,16:16,60089,56,
04-15-2020,16:16,60090,79,
04-15-2020,16:16,60091,64,
04-15-2020,16:16,60093,79,
04-15-2020,16:16,60096,7,
04-15-2020,16:16,60097,6,
04-15-2020,16:16,60098,53,
04-15-2020,16:16,60099,118,
04-15-2020,16:16,60101,94,
04-15-2020,16:16,60102,29,
04-15-2020,16:16,60103,33,
04-15-2020,16:16,60104,141,
04-15-2020,16:16,60106,83,
04-15-2020,16:16,60107,58,
04-15-2020,16:16,60108,29,
04-15-2020,16:16,60110,27,
04-15-2020,16:16,60115,19,
04-15-2020,16:16,60118,10,
04-15-2020,16:16,60119,8,
04-15-2020,16:16,60120,54,
04-15-2020,16:16,60123,56,
04-15-2020,16:16,60124,13,
04-15-2020,16:16,60126,68,
04-15-2020,16:16,60130,46,
04-15-2020,16:16,60131,58,
04-15-2020,16:16,60133,65,
04-15-2020,16:16,60134,14,
04-15-2020,16:16,60136,11,
04-15-2020,16:16,60137,32,
04-15-2020,16:16,60139,64,
04-15-2020,16:16,60140,14,
04-15-2020,16:16,60142,17,
04-15-2020,16:16,60143,13,
04-15-2020,16:16,60148,79,
04-15-2020,16:16,60153,106,
04-15-2020,16:16,60154,64,
04-15-2020,16:16,60155,29,
04-15-2020,16:16,60156,20,
04-15-2020,16:16,60160,84,
04-15-2020,16:16,60162,37,
04-15-2020,16:16,60163,11,
04-15-2020,16:16,60164,58,
04-15-2020,16:16,60165,25,
04-15-2020,16:16,60169,33,
04-15-2020,16:16,60171,29,
04-15-2020,16:16,60172,25,
04-15-2020,16:16,60173,9,
04-15-2020,16:16,60174,20,
04-15-2020,16:16,60175,23,
04-15-2020,16:16,60176,19,
04-15-2020,16:16,60177,14,
04-15-2020,16:16,60178,9,
04-15-2020,16:16,60181,64,
04-15-2020,16:16,60185,48,
04-15-2020,16:16,60187,14,
04-15-2020,16:16,60188,88,
04-15-2020,16:16,60189,28,
04-15-2020,16:16,60190,8,
04-15-2020,16:16,60191,16,
04-15-2020,16:16,60192,13,
04-15-2020,16:16,60193,48,
04-15-2020,16:16,60194,25,
04-15-2020,16:16,60201,98,
04-15-2020,16:16,60202,98,
04-15-2020,16:16,60203,14,
04-15-2020,16:16,60301,10,
04-15-2020,16:16,60302,71,
04-15-2020,16:16,60304,28,
04-15-2020,16:16,60305,15,
04-15-2020,16:16,60401,21,
04-15-2020,16:16,60402,192,
04-15-2020,16:16,60403,51,
04-15-2020,16:16,60404,34,
04-15-2020,16:16,60406,71,
04-15-2020,16:16,60409,163,
04-15-2020,16:16,60410,10,
04-15-2020,16:16,60411,230,
04-15-2020,16:16,60415,46,
04-15-2020,16:16,60417,49,
04-15-2020,16:16,60418,26,
04-15-2020,16:16,60419,114,
04-15-2020,16:16,60422,44,
04-15-2020,16:16,60423,55,
04-15-2020,16:16,60425,43,
04-15-2020,16:16,60426,107,
04-15-2020,16:16,60428,66,
04-15-2020,16:16,60429,81,
04-15-2020,16:16,60430,85,
04-15-2020,16:16,60431,66,
04-15-2020,16:16,60432,43,
04-15-2020,16:16,60433,62,
04-15-2020,16:16,60434,18,
04-15-2020,16:16,60435,179,
04-15-2020,16:16,60436,36,
04-15-2020,16:16,60438,102,
04-15-2020,16:16,60439,34,
04-15-2020,16:16,60440,143,
04-15-2020,16:16,60441,74,
04-15-2020,16:16,60442,16,
04-15-2020,16:16,60443,136,
04-15-2020,16:16,60445,38,
04-15-2020,16:16,60446,91,
04-15-2020,16:16,60447,9,
04-15-2020,16:16,60448,37,
04-15-2020,16:16,60449,26,
04-15-2020,16:16,60450,14,
04-15-2020,16:16,60451,39,
04-15-2020,16:16,60452,51,
04-15-2020,16:16,60453,144,
04-15-2020,16:16,60455,64,
04-15-2020,16:16,60456,11,
04-15-2020,16:16,60457,30,
04-15-2020,16:16,60458,17,
04-15-2020,16:16,60459,67,
04-15-2020,16:16,60461,27,
04-15-2020,16:16,60462,75,
04-15-2020,16:16,60463,38,
04-15-2020,16:16,60464,11,
04-15-2020,16:16,60465,40,
04-15-2020,16:16,60466,184,
04-15-2020,16:16,60467,49,
04-15-2020,16:16,60468,9,
04-15-2020,16:16,60469,13,
04-15-2020,16:16,60471,79,
04-15-2020,16:16,60472,32,
04-15-2020,16:16,60473,139,
04-15-2020,16:16,60475,35,
04-15-2020,16:16,60477,60,
04-15-2020,16:16,60478,96,
04-15-2020,16:16,60480,11,
04-15-2020,16:16,60481,7,
04-15-2020,16:16,60482,20,
